 EoSType = ColdTable
 Nrho=4000
 RhoMin=   0.161865E-09    RhoMax=   0.161865E-02
HeatCapacity=   0.160000E-02
     GammaTh=   0.166667E+01
    Kappa=   0.100000E+03
 RhoSpacing = Log
-9.24275419E-03 1.59305988E+00 1.86130886E-02
-9.24177036E-03 1.59310815E+00 1.86248960E-02
-9.24078508E-03 1.59315645E+00 1.86366942E-02
-9.23980005E-03 1.59320490E+00 1.86487364E-02
-9.23881533E-03 1.59325355E+00 1.86610243E-02
-9.23782916E-03 1.59330219E+00 1.86733056E-02
-9.23684154E-03 1.59335085E+00 1.86855771E-02
-9.23585247E-03 1.59339955E+00 1.86978355E-02
-9.23486194E-03 1.59344825E+00 1.87100875E-02
-9.23386996E-03 1.59349697E+00 1.87223296E-02
-9.23287652E-03 1.59354570E+00 1.87345621E-02
-9.23188163E-03 1.59359446E+00 1.87467848E-02
-9.23088528E-03 1.59364324E+00 1.87589944E-02
-9.22988746E-03 1.59369203E+00 1.87711977E-02
-9.22888818E-03 1.59374084E+00 1.87833914E-02
-9.22788743E-03 1.59378966E+00 1.87955754E-02
-9.22688522E-03 1.59383852E+00 1.88077464E-02
-9.22588154E-03 1.59388738E+00 1.88199111E-02
-9.22487638E-03 1.59393626E+00 1.88320663E-02
-9.22386974E-03 1.59398516E+00 1.88442119E-02
-9.22286163E-03 1.59403408E+00 1.88563479E-02
-9.22185205E-03 1.59408301E+00 1.88684744E-02
-9.22084098E-03 1.59413196E+00 1.88805913E-02
-9.21982843E-03 1.59418093E+00 1.88926988E-02
-9.21881442E-03 1.59422994E+00 1.89047934E-02
-9.21779890E-03 1.59427894E+00 1.89168819E-02
-9.21678190E-03 1.59432797E+00 1.89289610E-02
-9.21576340E-03 1.59437701E+00 1.89410306E-02
-9.21474342E-03 1.59442607E+00 1.89530908E-02
-9.21372194E-03 1.59447515E+00 1.89651417E-02
-9.21269897E-03 1.59452425E+00 1.89771831E-02
-9.21167449E-03 1.59457336E+00 1.89892152E-02
-9.21064852E-03 1.59462250E+00 1.90012380E-02
-9.20962107E-03 1.59467167E+00 1.90132481E-02
-9.20859210E-03 1.59472084E+00 1.90252522E-02
-9.20756397E-03 1.59477021E+00 1.90375704E-02
-9.20653579E-03 1.59481972E+00 1.90500766E-02
-9.20550613E-03 1.59486926E+00 1.90625693E-02
-9.20447495E-03 1.59491880E+00 1.90750554E-02
-9.20344227E-03 1.59496836E+00 1.90875315E-02
-9.20240810E-03 1.59501796E+00 1.90999942E-02
-9.20137240E-03 1.59506755E+00 1.91124502E-02
-9.20033522E-03 1.59511718E+00 1.91248929E-02
-9.19929651E-03 1.59516682E+00 1.91373291E-02
-9.19825628E-03 1.59521647E+00 1.91497553E-02
-9.19721456E-03 1.59526616E+00 1.91621682E-02
-9.19617130E-03 1.59531585E+00 1.91745746E-02
-9.19512652E-03 1.59536556E+00 1.91869711E-02
-9.19408025E-03 1.59541530E+00 1.91993544E-02
-9.19303243E-03 1.59546505E+00 1.92117312E-02
-9.19198308E-03 1.59551481E+00 1.92240982E-02
-9.19093223E-03 1.59556461E+00 1.92364520E-02
-9.18987983E-03 1.59561441E+00 1.92487994E-02
-9.18882590E-03 1.59566423E+00 1.92611371E-02
-9.18777046E-03 1.59571408E+00 1.92734616E-02
-9.18671346E-03 1.59576394E+00 1.92857798E-02
-9.18565493E-03 1.59581382E+00 1.92980883E-02
-9.18459485E-03 1.59586371E+00 1.93103871E-02
-9.18353324E-03 1.59591362E+00 1.93226763E-02
-9.18247011E-03 1.59596357E+00 1.93349523E-02
-9.18140541E-03 1.59601352E+00 1.93472222E-02
-9.18033916E-03 1.59606349E+00 1.93594824E-02
-9.17927139E-03 1.59611349E+00 1.93717296E-02
-9.17820204E-03 1.59616350E+00 1.93839707E-02
-9.17713114E-03 1.59621352E+00 1.93962022E-02
-9.17605868E-03 1.59626356E+00 1.94084241E-02
-9.17498467E-03 1.59631363E+00 1.94206366E-02
-9.17391221E-03 1.59636394E+00 1.94332324E-02
-9.17283925E-03 1.59641435E+00 1.94459529E-02
-9.17176474E-03 1.59646478E+00 1.94586631E-02
-9.17068867E-03 1.59651523E+00 1.94713630E-02
-9.16961105E-03 1.59656570E+00 1.94840526E-02
-9.16853187E-03 1.59661619E+00 1.94967320E-02
-9.16745110E-03 1.59666667E+00 1.95094046E-02
-9.16636879E-03 1.59671720E+00 1.95220636E-02
-9.16528493E-03 1.59676774E+00 1.95347123E-02
-9.16419950E-03 1.59681830E+00 1.95473509E-02
-9.16311250E-03 1.59686888E+00 1.95599794E-02
-9.16202393E-03 1.59691948E+00 1.95725977E-02
-9.16093379E-03 1.59697010E+00 1.95852059E-02
-9.15984204E-03 1.59702072E+00 1.95978075E-02
-9.15874875E-03 1.59707138E+00 1.96103956E-02
-9.15765388E-03 1.59712205E+00 1.96229736E-02
-9.15655743E-03 1.59717275E+00 1.96355415E-02
-9.15545937E-03 1.59722344E+00 1.96481030E-02
-9.15435975E-03 1.59727418E+00 1.96606509E-02
-9.15324277E-03 1.59732498E+00 1.96731882E-02
-9.15210215E-03 1.59737588E+00 1.96857124E-02
-9.15096009E-03 1.59742678E+00 1.96982301E-02
-9.14981643E-03 1.59747771E+00 1.97107379E-02
-9.14867102E-03 1.59752867E+00 1.97232323E-02
-9.14752402E-03 1.59757964E+00 1.97357168E-02
-9.14637557E-03 1.59763062E+00 1.97481950E-02
-9.14522551E-03 1.59768162E+00 1.97606633E-02
-9.14407370E-03 1.59773266E+00 1.97731182E-02
-9.14292043E-03 1.59778370E+00 1.97855669E-02
-9.14176541E-03 1.59783477E+00 1.97980023E-02
-9.14060892E-03 1.59788585E+00 1.98104314E-02
-9.13945068E-03 1.59793696E+00 1.98228472E-02
-9.13829339E-03 1.59798835E+00 1.98357255E-02
-9.13713472E-03 1.59803981E+00 1.98486593E-02
-9.13597459E-03 1.59809127E+00 1.98615860E-02
-9.13481271E-03 1.59814277E+00 1.98744987E-02
-9.13364921E-03 1.59819429E+00 1.98874009E-02
-9.13248424E-03 1.59824581E+00 1.99002961E-02
-9.13131751E-03 1.59829737E+00 1.99131773E-02
-9.13014931E-03 1.59834893E+00 1.99260516E-02
-9.12897934E-03 1.59840053E+00 1.99389119E-02
-9.12780789E-03 1.59845213E+00 1.99517653E-02
-9.12663468E-03 1.59850376E+00 1.99646048E-02
-9.12545998E-03 1.59855540E+00 1.99774375E-02
-9.12428351E-03 1.59860708E+00 1.99902563E-02
-9.12310556E-03 1.59865875E+00 2.00030682E-02
-9.12192583E-03 1.59871047E+00 2.00158663E-02
-9.12074461E-03 1.59876218E+00 2.00286577E-02
-9.11956162E-03 1.59881394E+00 2.00414353E-02
