 EoSType = BetaEq
 Nrho= 231   NT=  61
 RhoMin=   0.161865E-09    RhoMax=   0.161865E-02
 Tmin=   0.100000E+00    Tmax=   0.891251E+02
HeatCapacity=   0.160000E-02
     GammaTh=   0.166667E+01
    Kappa=   0.100000E+03
 RhoSpacing = Log
 TSpacing = Log
   8.230473E-02   1.943940E+00   5.445359E-01
   9.179108E-02   1.937160E+00   5.647146E-01
   1.024474E-01   1.930422E+00   5.835169E-01
   1.143102E-01   1.924513E+00   6.003499E-01
   1.274350E-01   1.918658E+00   6.152797E-01
   1.420319E-01   1.913697E+00   6.282472E-01
   1.580878E-01   1.909134E+00   6.391007E-01
   1.756699E-01   1.905184E+00   6.479099E-01
   1.947919E-01   1.902135E+00   6.548713E-01
   2.157500E-01   1.899347E+00   6.603559E-01
  -2.305608E-03   1.583684E+00   1.629279E-02
  -2.292634E-03   1.584439E+00   1.647962E-02
  -2.279329E-03   1.585199E+00   1.666968E-02
  -2.265672E-03   1.585968E+00   1.686123E-02
  -2.251636E-03   1.586744E+00   1.705316E-02
  -2.237273E-03   1.587526E+00   1.724998E-02
  -2.222503E-03   1.588314E+00   1.744665E-02
  -2.207387E-03   1.589112E+00   1.764699E-02
  -2.191874E-03   1.589916E+00   1.784888E-02
  -2.175961E-03   1.590725E+00   1.805251E-02
  -2.159679E-03   1.591545E+00   1.825939E-02
  -2.142953E-03   1.592371E+00   1.846590E-02
  -2.125863E-03   1.593205E+00   1.867751E-02
  -2.108326E-03   1.594046E+00   1.888933E-02
  -2.090368E-03   1.594897E+00   1.910300E-02
  -2.071995E-03   1.595755E+00   1.932022E-02
  -2.053137E-03   1.596620E+00   1.953735E-02
  -2.033898E-03   1.597496E+00   1.975963E-02
  -2.014159E-03   1.598378E+00   1.998161E-02
  -1.993977E-03   1.599269E+00   2.020682E-02
  -1.973091E-03   1.600169E+00   2.043406E-02
  -1.951261E-03   1.601078E+00   2.066172E-02
  -1.928970E-03   1.601996E+00   2.089536E-02
  -1.906126E-03   1.602922E+00   2.112858E-02
  -1.882792E-03   1.603858E+00   2.136566E-02
  -1.858916E-03   1.604802E+00   2.160431E-02
  -1.834489E-03   1.605755E+00   2.184437E-02
  -1.809547E-03   1.606718E+00   2.208834E-02
  -1.784006E-03   1.607689E+00   2.233176E-02
  -1.757947E-03   1.608670E+00   2.258066E-02
  -1.731288E-03   1.609661E+00   2.283005E-02
  -1.704047E-03   1.610660E+00   2.308153E-02
  -1.676233E-03   1.611670E+00   2.333684E-02
  -1.647774E-03   1.612688E+00   2.359160E-02
  -1.618766E-03   1.613717E+00   2.385219E-02
  -1.589095E-03   1.614755E+00   2.411203E-02
  -1.558811E-03   1.615806E+00   2.437453E-02
  -1.527893E-03   1.616865E+00   2.463987E-02
  -1.496294E-03   1.617934E+00   2.490538E-02
  -1.464092E-03   1.619017E+00   2.517709E-02
  -1.431178E-03   1.620108E+00   2.544819E-02
  -1.397618E-03   1.621210E+00   2.572401E-02
  -1.363362E-03   1.622323E+00   2.600144E-02
  -1.327602E-03   1.623448E+00   2.628015E-02
  -1.290408E-03   1.624583E+00   2.656424E-02
  -1.252435E-03   1.625728E+00   2.684730E-02
  -1.213733E-03   1.626889E+00   2.713483E-02
  -1.174246E-03   1.628059E+00   2.742323E-02
  -1.133979E-03   1.629239E+00   2.771404E-02
  -1.092940E-03   1.630434E+00   2.800849E-02
  -1.051077E-03   1.631640E+00   2.830173E-02
  -1.008446E-03   1.632857E+00   2.860216E-02
  -9.649753E-04   1.634087E+00   2.890160E-02
  -9.206905E-04   1.635331E+00   2.920350E-02
  -8.755778E-04   1.636586E+00   2.950886E-02
  -8.296012E-04   1.637852E+00   2.981389E-02
  -7.828133E-04   1.639136E+00   3.012455E-02
  -7.351388E-04   1.640431E+00   3.043388E-02
  -6.860161E-04   1.641740E+00   3.074792E-02
  -6.348183E-04   1.643066E+00   3.106332E-02
  -5.826915E-04   1.644406E+00   3.137848E-02
  -5.296386E-04   1.645761E+00   3.170041E-02
  -4.756378E-04   1.647128E+00   3.202084E-02
  -4.207005E-04   1.648513E+00   3.234609E-02
  -3.648070E-04   1.649911E+00   3.267163E-02
  -3.079543E-04   1.651323E+00   3.299856E-02
  -2.501452E-04   1.652753E+00   3.332839E-02
  -1.913613E-04   1.654197E+00   3.365595E-02
  -1.316154E-04   1.655659E+00   3.399040E-02
  -7.088961E-05   1.657135E+00   3.432310E-02
  -7.058866E-06   1.658634E+00   3.465821E-02
   5.805889E-05   1.660151E+00   3.499723E-02
   1.242050E-04   1.661681E+00   3.533492E-02
   1.914165E-04   1.663234E+00   3.567881E-02
   2.596528E-04   1.664801E+00   3.602058E-02
   3.289416E-04   1.666387E+00   3.636689E-02
   3.992712E-04   1.667991E+00   3.671407E-02
   4.706322E-04   1.669611E+00   3.706026E-02
   5.430499E-04   1.671253E+00   3.741078E-02
   6.183520E-04   1.672917E+00   3.775839E-02
   6.957449E-04   1.674605E+00   3.810941E-02
   7.742077E-04   1.676312E+00   3.846014E-02
   8.537421E-04   1.678040E+00   3.881116E-02
   9.343817E-04   1.679791E+00   3.916537E-02
   1.016034E-03   1.681558E+00   3.951613E-02
   1.098793E-03   1.683353E+00   3.987258E-02
   1.182554E-03   1.685167E+00   4.022620E-02
   1.270558E-03   1.687011E+00   4.058070E-02
   1.359984E-03   1.688883E+00   4.093554E-02
   1.450398E-03   1.690775E+00   4.128633E-02
   1.541982E-03   1.692695E+00   4.164363E-02
   1.634503E-03   1.694636E+00   4.199703E-02
   1.728062E-03   1.696604E+00   4.235203E-02
   1.823457E-03   1.698600E+00   4.270682E-02
   1.922782E-03   1.700630E+00   4.305818E-02
   2.023235E-03   1.702695E+00   4.341159E-02
   2.124522E-03   1.704782E+00   4.375974E-02
   2.226831E-03   1.706898E+00   4.411051E-02
   2.329977E-03   1.709042E+00   4.445829E-02
   2.435617E-03   1.711222E+00   4.480312E-02
   2.545133E-03   1.713446E+00   4.514824E-02
   2.655313E-03   1.715694E+00   4.548664E-02
   2.766456E-03   1.717983E+00   4.582361E-02
   2.878212E-03   1.720299E+00   4.615613E-02
   2.991451E-03   1.722646E+00   4.648822E-02
   3.109411E-03   1.725036E+00   4.682389E-02
   3.227849E-03   1.727454E+00   4.715221E-02
   3.347216E-03   1.729911E+00   4.748503E-02
   3.466930E-03   1.732396E+00   4.781026E-02
   3.589123E-03   1.734943E+00   4.812792E-02
   3.715518E-03   1.737569E+00   4.843130E-02
   3.841994E-03   1.740224E+00   4.872670E-02
   3.968923E-03   1.742931E+00   4.901686E-02
   4.096912E-03   1.745700E+00   4.928944E-02
   4.231414E-03   1.748679E+00   4.951314E-02
   4.365097E-03   1.751694E+00   4.972974E-02
   4.497828E-03   1.754742E+00   4.993851E-02
   4.636889E-03   1.758292E+00   4.999420E-02
   4.773615E-03   1.761916E+00   5.001964E-02
   4.916097E-03   1.766440E+00   4.975353E-02
   5.057541E-03   1.771708E+00   4.924706E-02
   5.195413E-03   1.777656E+00   4.853876E-02
   5.328656E-03   1.783904E+00   4.775969E-02
   5.456014E-03   1.790310E+00   4.696224E-02
   5.579042E-03   1.796901E+00   4.614770E-02
   5.696730E-03   1.803613E+00   4.532127E-02
   5.809696E-03   1.810373E+00   4.454391E-02
   5.918250E-03   1.817034E+00   4.381573E-02
   6.022315E-03   1.823678E+00   4.311763E-02
   6.123352E-03   1.830401E+00   4.243785E-02
   6.219847E-03   1.837054E+00   4.180139E-02
   6.314597E-03   1.843673E+00   4.122073E-02
   6.406222E-03   1.850234E+00   4.067790E-02
   6.494082E-03   1.856720E+00   4.016882E-02
   6.580431E-03   1.863179E+00   3.969455E-02
   6.664565E-03   1.869562E+00   3.925126E-02
   6.745645E-03   1.875957E+00   3.882505E-02
   6.826782E-03   1.882190E+00   3.848912E-02
   6.904156E-03   1.888332E+00   3.817426E-02
   6.982424E-03   1.894409E+00   3.790722E-02
   7.056501E-03   1.900425E+00   3.762812E-02
   7.133031E-03   1.906359E+00   3.741314E-02
   7.205533E-03   1.912258E+00   3.718796E-02
   7.279338E-03   1.918082E+00   3.702321E-02
   7.351850E-03   1.923832E+00   3.689812E-02
   7.421284E-03   1.929529E+00   3.677316E-02
   7.494974E-03   1.935224E+00   3.664284E-02
   7.565654E-03   1.940849E+00   3.652946E-02
   7.634513E-03   1.946458E+00   3.643357E-02
   7.706549E-03   1.951935E+00   3.639750E-02
   7.777389E-03   1.957451E+00   3.634015E-02
   7.847218E-03   1.963036E+00   3.626100E-02
   7.915602E-03   1.968630E+00   3.617154E-02
   7.988406E-03   1.974159E+00   3.612977E-02
   8.059790E-03   1.979738E+00   3.607979E-02
   8.129929E-03   1.985369E+00   3.602193E-02
   8.199276E-03   1.991108E+00   3.594608E-02
   8.269898E-03   1.996776E+00   3.589410E-02
   8.343437E-03   2.002468E+00   3.584970E-02
   8.415881E-03   2.008264E+00   3.577384E-02
   8.487665E-03   2.014207E+00   3.566324E-02
   8.558733E-03   2.020206E+00   3.555323E-02
   8.630373E-03   2.025092E+00   3.572167E-02
   8.703752E-03   2.030148E+00   3.587618E-02
