 EoSType = ColdTable
 Nrho=2000
 RhoMin=   0.161865E-14    RhoMax=   0.998053E-03
HeatCapacity=   0.160000E-02
     GammaTh=   0.166667E+01
    Kappa=   0.100000E+03
 RhoSpacing = Log
-2.74184900E-03 1.53656056E+00 2.91926910E-03
-2.74184519E-03 1.53676179E+00 2.92093592E-03
-2.74184139E-03 1.53696320E+00 2.92260177E-03
-2.74183758E-03 1.53716478E+00 2.92426665E-03
-2.74183377E-03 1.53736653E+00 2.92593057E-03
-2.74182994E-03 1.53756846E+00 2.92759380E-03
-2.74182611E-03 1.53777056E+00 2.92925608E-03
-2.74182230E-03 1.53797285E+00 2.93091711E-03
-2.74181748E-03 1.53817132E+00 2.93276187E-03
-2.74181213E-03 1.53836789E+00 2.93470103E-03
-2.74180678E-03 1.53856464E+00 2.93663889E-03
-2.74180143E-03 1.53876156E+00 2.93857546E-03
-2.74179607E-03 1.53895865E+00 2.94051072E-03
-2.74179072E-03 1.53915591E+00 2.94244470E-03
-2.74178537E-03 1.53935334E+00 2.94437738E-03
-2.74178001E-03 1.53955095E+00 2.94630877E-03
-2.74177465E-03 1.53974873E+00 2.94823888E-03
-2.74176930E-03 1.53994669E+00 2.95016771E-03
-2.74176291E-03 1.54014084E+00 2.95228335E-03
-2.74175585E-03 1.54033246E+00 2.95452513E-03
-2.74174878E-03 1.54052425E+00 2.95676518E-03
-2.74174169E-03 1.54071621E+00 2.95900380E-03
-2.74173460E-03 1.54090833E+00 2.96124071E-03
-2.74172753E-03 1.54110062E+00 2.96347561E-03
-2.74172046E-03 1.54129309E+00 2.96570881E-03
-2.74171336E-03 1.54148572E+00 2.96794059E-03
-2.74170626E-03 1.54167851E+00 2.97017067E-03
-2.74169916E-03 1.54187148E+00 2.97239905E-03
-2.74169107E-03 1.54206073E+00 2.97481405E-03
-2.74168202E-03 1.54224669E+00 2.97739427E-03
-2.74167302E-03 1.54243283E+00 2.97997165E-03
-2.74166396E-03 1.54261912E+00 2.98254736E-03
-2.74165493E-03 1.54280559E+00 2.98512052E-03
-2.74164589E-03 1.54299221E+00 2.98769144E-03
-2.74163686E-03 1.54317900E+00 2.99026013E-03
-2.74162781E-03 1.54336596E+00 2.99282658E-03
-2.74161877E-03 1.54355308E+00 2.99539080E-03
-2.74160972E-03 1.54374037E+00 2.99795280E-03
-2.74159965E-03 1.54392407E+00 3.00069898E-03
-2.74158841E-03 1.54410366E+00 3.00365495E-03
-2.74157719E-03 1.54428342E+00 3.00660768E-03
-2.74156596E-03 1.54446334E+00 3.00955748E-03
-2.74155471E-03 1.54464341E+00 3.01250466E-03
-2.74154345E-03 1.54482364E+00 3.01544893E-03
-2.74153221E-03 1.54500403E+00 3.01838999E-03
-2.74152096E-03 1.54518459E+00 3.02132816E-03
-2.74150969E-03 1.54536530E+00 3.02426374E-03
-2.74149842E-03 1.54554617E+00 3.02719645E-03
-2.74148617E-03 1.54572369E+00 3.03030586E-03
-2.74147244E-03 1.54589617E+00 3.03367785E-03
-2.74145871E-03 1.54606880E+00 3.03704605E-03
-2.74144498E-03 1.54624159E+00 3.04041048E-03
-2.74143123E-03 1.54641453E+00 3.04377116E-03
-2.74141749E-03 1.54658762E+00 3.04712809E-03
-2.74140373E-03 1.54676087E+00 3.05048129E-03
-2.74138997E-03 1.54693427E+00 3.05383078E-03
-2.74137623E-03 1.54710784E+00 3.05717624E-03
-2.74136245E-03 1.54728155E+00 3.06051832E-03
-2.74134776E-03 1.54745223E+00 3.06402503E-03
-2.74133120E-03 1.54761685E+00 3.06785569E-03
-2.74131466E-03 1.54778163E+00 3.07168122E-03
-2.74129811E-03 1.54794655E+00 3.07550194E-03
-2.74128153E-03 1.54811161E+00 3.07931819E-03
-2.74126499E-03 1.54827683E+00 3.08312904E-03
-2.74124839E-03 1.54844219E+00 3.08693578E-03
-2.74123180E-03 1.54860770E+00 3.09073747E-03
-2.74121521E-03 1.54877336E+00 3.09453444E-03
-2.74119858E-03 1.54893916E+00 3.09832703E-03
-2.74118113E-03 1.54910236E+00 3.10226618E-03
-2.74116141E-03 1.54925841E+00 3.10659921E-03
-2.74114167E-03 1.54941459E+00 3.11092614E-03
-2.74112194E-03 1.54957093E+00 3.11524669E-03
-2.74110221E-03 1.54972741E+00 3.11956121E-03
-2.74108245E-03 1.54988402E+00 3.12386971E-03
-2.74106266E-03 1.55004077E+00 3.12817255E-03
-2.74104286E-03 1.55019766E+00 3.13246944E-03
-2.74102307E-03 1.55035470E+00 3.13676005E-03
-2.74100326E-03 1.55051189E+00 3.14104475E-03
-2.74098271E-03 1.55066695E+00 3.14545245E-03
-2.74095941E-03 1.55081376E+00 3.15033292E-03
-2.74093610E-03 1.55096069E+00 3.15520579E-03
-2.74091279E-03 1.55110777E+00 3.16007074E-03
-2.74088946E-03 1.55125497E+00 3.16492816E-03
-2.74086609E-03 1.55140231E+00 3.16977840E-03
-2.74084270E-03 1.55154977E+00 3.17462118E-03
-2.74081932E-03 1.55169738E+00 3.17945618E-03
-2.74079592E-03 1.55184512E+00 3.18428378E-03
-2.74077247E-03 1.55199299E+00 3.18910435E-03
-2.74074844E-03 1.55213934E+00 3.19401655E-03
-2.74072115E-03 1.55227630E+00 3.19948964E-03
-2.74069383E-03 1.55241339E+00 3.20495332E-03
-2.74066649E-03 1.55255060E+00 3.21040763E-03
-2.74063908E-03 1.55268792E+00 3.21585331E-03
-2.74061169E-03 1.55282538E+00 3.22128902E-03
-2.74058427E-03 1.55296296E+00 3.22671550E-03
-2.74055681E-03 1.55310067E+00 3.23213314E-03
-2.74052932E-03 1.55323849E+00 3.23754166E-03
-2.74050183E-03 1.55337646E+00 3.24294073E-03
-2.74047396E-03 1.55351357E+00 3.24839227E-03
-2.74044213E-03 1.55364017E+00 3.25450386E-03
-2.74041030E-03 1.55376689E+00 3.26060355E-03
-2.74037844E-03 1.55389373E+00 3.26669177E-03
-2.74034652E-03 1.55402067E+00 3.27276894E-03
-2.74031459E-03 1.55414774E+00 3.27883440E-03
-2.74028263E-03 1.55427493E+00 3.28488858E-03
-2.74025061E-03 1.55440222E+00 3.29093190E-03
-2.74021855E-03 1.55452963E+00 3.29696407E-03
-2.74018652E-03 1.55465717E+00 3.30298441E-03
-2.74015430E-03 1.55478458E+00 3.30901051E-03
-2.74011747E-03 1.55490044E+00 3.31580385E-03
-2.74008059E-03 1.55501641E+00 3.32258320E-03
-2.74004367E-03 1.55513249E+00 3.32934865E-03
-2.74000671E-03 1.55524867E+00 3.33610028E-03
-2.73996970E-03 1.55536497E+00 3.34283818E-03
-2.73993265E-03 1.55548136E+00 3.34956243E-03
-2.73989552E-03 1.55559786E+00 3.35627348E-03
-2.73985838E-03 1.55571447E+00 3.36297068E-03
-2.73982120E-03 1.55583119E+00 3.36965446E-03
-2.73978395E-03 1.55594801E+00 3.37632531E-03
-2.73974176E-03 1.55605342E+00 3.38380454E-03
-2.73969928E-03 1.55615840E+00 3.39130466E-03
-2.73965670E-03 1.55626347E+00 3.39878890E-03
-2.73961411E-03 1.55636864E+00 3.40625580E-03
-2.73957144E-03 1.55647391E+00 3.41370665E-03
-2.73952871E-03 1.55657927E+00 3.42114116E-03
-2.73948595E-03 1.55668474E+00 3.42855904E-03
-2.73944310E-03 1.55679030E+00 3.43596120E-03
-2.73940020E-03 1.55689595E+00 3.44334732E-03
-2.73935727E-03 1.55700171E+00 3.45071713E-03
-2.73930921E-03 1.55709682E+00 3.45889732E-03
-2.73926049E-03 1.55719072E+00 3.46715701E-03
-2.73921170E-03 1.55728470E+00 3.47539693E-03
-2.73916281E-03 1.55737877E+00 3.48361764E-03
-2.73911389E-03 1.55747294E+00 3.49181806E-03
-2.73906485E-03 1.55756718E+00 3.49999994E-03
-2.73901579E-03 1.55766153E+00 3.50816180E-03
-2.73896660E-03 1.55775594E+00 3.51630540E-03
-2.73891736E-03 1.55785046E+00 3.52442964E-03
-2.73886805E-03 1.55794506E+00 3.53253507E-03
-2.73881357E-03 1.55802991E+00 3.54144191E-03
-2.73875795E-03 1.55811281E+00 3.55049557E-03
-2.73870228E-03 1.55819581E+00 3.55952521E-03
-2.73864647E-03 1.55827886E+00 3.56853269E-03
-2.73859056E-03 1.55836200E+00 3.57751733E-03
-2.73853458E-03 1.55844522E+00 3.58647890E-03
-2.73847851E-03 1.55852851E+00 3.59541798E-03
-2.73842232E-03 1.55861188E+00 3.60433517E-03
-2.73836605E-03 1.55869533E+00 3.61322978E-03
-2.73830969E-03 1.55877887E+00 3.62210239E-03
-2.73824817E-03 1.55885367E+00 3.63175949E-03
-2.73818496E-03 1.55892584E+00 3.64163834E-03
-2.73812164E-03 1.55899807E+00 3.65149029E-03
-2.73805822E-03 1.55907038E+00 3.66131512E-03
-2.73799467E-03 1.55914276E+00 3.67111348E-03
-2.73793099E-03 1.55921519E+00 3.68088602E-03
-2.73786718E-03 1.55928770E+00 3.69063251E-03
-2.73780327E-03 1.55936028E+00 3.70035272E-03
-2.73773924E-03 1.55943293E+00 3.71004728E-03
-2.73767507E-03 1.55950564E+00 3.71971685E-03
-2.73760583E-03 1.55957073E+00 3.73014211E-03
-2.73753430E-03 1.55963260E+00 3.74087087E-03
-2.73746266E-03 1.55969453E+00 3.75156830E-03
-2.73739086E-03 1.55975652E+00 3.76223511E-03
-2.73731888E-03 1.55981856E+00 3.77287203E-03
-2.73724675E-03 1.55988066E+00 3.78347886E-03
-2.73717447E-03 1.55994281E+00 3.79405585E-03
-2.73710204E-03 1.56000503E+00 3.80460325E-03
-2.73702950E-03 1.56006732E+00 3.81512036E-03
-2.73695676E-03 1.56012966E+00 3.82560930E-03
-2.73687909E-03 1.56018550E+00 3.83680963E-03
-2.73679848E-03 1.56023766E+00 3.84839825E-03
-2.73671771E-03 1.56028987E+00 3.85995139E-03
-2.73663676E-03 1.56034214E+00 3.87146982E-03
-2.73655558E-03 1.56039444E+00 3.88295433E-03
-2.73647428E-03 1.56044681E+00 3.89440379E-03
-2.73639273E-03 1.56049922E+00 3.90582042E-03
-2.73631099E-03 1.56055167E+00 3.91720356E-03
-2.73622911E-03 1.56060419E+00 3.92855252E-03
-2.73614699E-03 1.56065675E+00 3.93986954E-03
-2.73606012E-03 1.56070390E+00 3.95184859E-03
-2.73596963E-03 1.56074704E+00 3.96430670E-03
-2.73587890E-03 1.56079021E+00 3.97672599E-03
-2.73578793E-03 1.56083342E+00 3.98910636E-03
-2.73569675E-03 1.56087669E+00 4.00144765E-03
-2.73560532E-03 1.56091998E+00 4.01375122E-03
-2.73551365E-03 1.56096332E+00 4.02601692E-03
-2.73542177E-03 1.56100671E+00 4.03824459E-03
-2.73532963E-03 1.56105013E+00 4.05043559E-03
-2.73523726E-03 1.56109360E+00 4.06258974E-03
-2.73514039E-03 1.56113271E+00 4.07535219E-03
-2.73503911E-03 1.56116761E+00 4.08869434E-03
-2.73493755E-03 1.56120255E+00 4.10199279E-03
-2.73483571E-03 1.56123752E+00 4.11524796E-03
-2.73473358E-03 1.56127253E+00 4.12846027E-03
-2.73463120E-03 1.56130758E+00 4.14162960E-03
-2.73452850E-03 1.56134265E+00 4.15475741E-03
-2.73442552E-03 1.56137776E+00 4.16784357E-03
-2.73432225E-03 1.56141290E+00 4.18088848E-03
-2.73421870E-03 1.56144807E+00 4.19389250E-03
-2.73411092E-03 1.56147987E+00 4.20743869E-03
-2.73399802E-03 1.56150747E+00 4.22166205E-03
-2.73388476E-03 1.56153510E+00 4.23583785E-03
-2.73377116E-03 1.56156275E+00 4.24996602E-03
-2.73365721E-03 1.56159043E+00 4.26404705E-03
-2.73354292E-03 1.56161813E+00 4.27808139E-03
-2.73342831E-03 1.56164588E+00 4.29206896E-03
-2.73331329E-03 1.56167363E+00 4.30601185E-03
-2.73319799E-03 1.56170142E+00 4.31990830E-03
-2.73308228E-03 1.56172923E+00 4.33376097E-03
-2.73296281E-03 1.56175455E+00 4.34807891E-03
-2.73283734E-03 1.56177579E+00 4.36317460E-03
-2.73271144E-03 1.56179705E+00 4.37821841E-03
-2.73258512E-03 1.56181832E+00 4.39321032E-03
-2.73245839E-03 1.56183962E+00 4.40815087E-03
-2.73233128E-03 1.56186095E+00 4.42304000E-03
-2.73220376E-03 1.56188229E+00 4.43787880E-03
-2.73207579E-03 1.56190365E+00 4.45266834E-03
-2.73194740E-03 1.56192504E+00 4.46740854E-03
-2.73181862E-03 1.56194645E+00 4.48209931E-03
-2.73168643E-03 1.56196609E+00 4.49717665E-03
-2.73154741E-03 1.56198193E+00 4.51313249E-03
-2.73140790E-03 1.56199779E+00 4.52903169E-03
-2.73126791E-03 1.56201366E+00 4.54487484E-03
-2.73112743E-03 1.56202955E+00 4.56066251E-03
-2.73098646E-03 1.56204546E+00 4.57639530E-03
-2.73084500E-03 1.56206138E+00 4.59207375E-03
-2.73070304E-03 1.56207731E+00 4.60769843E-03
-2.73056059E-03 1.56209327E+00 4.62326988E-03
-2.73041764E-03 1.56210923E+00 4.63878863E-03
-2.73027179E-03 1.56212406E+00 4.65460744E-03
-2.73011820E-03 1.56213546E+00 4.67140709E-03
-2.72996407E-03 1.56214687E+00 4.68814545E-03
-2.72980937E-03 1.56215830E+00 4.70482377E-03
-2.72965406E-03 1.56216973E+00 4.72144331E-03
-2.72949820E-03 1.56218118E+00 4.73800346E-03
-2.72934176E-03 1.56219264E+00 4.75450545E-03
-2.72918474E-03 1.56220411E+00 4.77094988E-03
-2.72902713E-03 1.56221559E+00 4.78733735E-03
-2.72886893E-03 1.56222709E+00 4.80366843E-03
-2.72870828E-03 1.56223790E+00 4.82021164E-03
-2.72853911E-03 1.56224579E+00 4.83783401E-03
-2.72836928E-03 1.56225369E+00 4.85539187E-03
-2.72819877E-03 1.56226160E+00 4.87288593E-03
-2.72802760E-03 1.56226951E+00 4.89031686E-03
-2.72785574E-03 1.56227744E+00 4.90768534E-03
-2.72768320E-03 1.56228537E+00 4.92499204E-03
-2.72750998E-03 1.56229331E+00 4.94223759E-03
-2.72733608E-03 1.56230125E+00 4.95942264E-03
-2.72716148E-03 1.56230921E+00 4.97654781E-03
-2.72698497E-03 1.56231684E+00 4.99379267E-03
-2.72679911E-03 1.56232210E+00 5.01221564E-03
-2.72661243E-03 1.56232736E+00 5.03057119E-03
-2.72642498E-03 1.56233263E+00 5.04885940E-03
-2.72623677E-03 1.56233791E+00 5.06708035E-03
-2.72604778E-03 1.56234320E+00 5.08523540E-03
-2.72585797E-03 1.56234848E+00 5.10332593E-03
-2.72566736E-03 1.56235377E+00 5.12135196E-03
-2.72547596E-03 1.56235906E+00 5.13931418E-03
-2.72528382E-03 1.56236438E+00 5.15721189E-03
-2.72509018E-03 1.56236956E+00 5.17513767E-03
-2.72488644E-03 1.56237303E+00 5.19433728E-03
-2.72468173E-03 1.56237647E+00 5.21346687E-03
-2.72447619E-03 1.56237994E+00 5.23252449E-03
-2.72426971E-03 1.56238341E+00 5.25151296E-03
-2.72406233E-03 1.56238687E+00 5.27043236E-03
-2.72385406E-03 1.56239035E+00 5.28928272E-03
-2.72364485E-03 1.56239383E+00 5.30806617E-03
-2.72343471E-03 1.56239730E+00 5.32678272E-03
-2.72322369E-03 1.56240080E+00 5.34543238E-03
-2.72301167E-03 1.56240427E+00 5.36401794E-03
-2.72278882E-03 1.56240669E+00 5.38396602E-03
-2.72256492E-03 1.56240912E+00 5.40384210E-03
-2.72233997E-03 1.56241153E+00 5.42364530E-03
-2.72211397E-03 1.56241395E+00 5.44337571E-03
-2.72188697E-03 1.56241638E+00 5.46303341E-03
-2.72165892E-03 1.56241882E+00 5.48261989E-03
-2.72142979E-03 1.56242124E+00 5.50213663E-03
-2.72119961E-03 1.56242367E+00 5.52158365E-03
-2.72096836E-03 1.56242610E+00 5.54096169E-03
-2.72073608E-03 1.56242854E+00 5.56027074E-03
-2.72049341E-03 1.56243063E+00 5.58085243E-03
-2.72024893E-03 1.56243270E+00 5.60145080E-03
-2.72000329E-03 1.56243478E+00 5.62197286E-03
