# EOS Table generated on 20120306 from
# HShenEOS_rho220_temp180_ye65_version2.0_20111026_EOSmaker_svn9.h5
# Original table has nrho ntemp nye:    220   180    65
EoSType = ColdTable
Nrho =  2000
RhoMin =   0.161865E-14      RhoMax =   0.158181E-01
HeatCapacity =   0.160000E-02
GammaTh =   0.166667E+01
Kappa =   0.100000E+03
RhoSpacing = Log
-2.74140627E-03 1.54672912E+00 3.04986696E-03
-2.74139112E-03 1.54692016E+00 3.05355778E-03
-2.74137596E-03 1.54711138E+00 3.05724410E-03
-2.74136077E-03 1.54730278E+00 3.06092624E-03
-2.74134404E-03 1.54748908E+00 3.06488339E-03
-2.74132583E-03 1.54767051E+00 3.06910205E-03
-2.74130758E-03 1.54785211E+00 3.07331518E-03
-2.74128933E-03 1.54803389E+00 3.07752248E-03
-2.74127108E-03 1.54821585E+00 3.08172367E-03
-2.74125283E-03 1.54839800E+00 3.08591909E-03
-2.74123454E-03 1.54858032E+00 3.09010908E-03
-2.74121624E-03 1.54876281E+00 3.09429334E-03
-2.74119795E-03 1.54894550E+00 3.09847157E-03
-2.74117837E-03 1.54912419E+00 3.10287308E-03
-2.74115666E-03 1.54929615E+00 3.10764543E-03
-2.74113489E-03 1.54946828E+00 3.11241104E-03
-2.74111316E-03 1.54964059E+00 3.11716867E-03
-2.74109140E-03 1.54981307E+00 3.12191897E-03
-2.74106961E-03 1.54998571E+00 3.12666232E-03
-2.74104780E-03 1.55015853E+00 3.13139843E-03
-2.74102601E-03 1.55033152E+00 3.13612699E-03
-2.74100417E-03 1.55050468E+00 3.14084870E-03
-2.74098138E-03 1.55067516E+00 3.14572619E-03
-2.74095574E-03 1.55083693E+00 3.15110212E-03
-2.74093007E-03 1.55099886E+00 3.15646882E-03
-2.74090436E-03 1.55116094E+00 3.16182666E-03
-2.74087863E-03 1.55132319E+00 3.16717537E-03
-2.74085287E-03 1.55148559E+00 3.17251499E-03
-2.74082712E-03 1.55164817E+00 3.17784522E-03
-2.74080135E-03 1.55181091E+00 3.18316646E-03
-2.74077553E-03 1.55197380E+00 3.18847908E-03
-2.74074922E-03 1.55213551E+00 3.19386303E-03
-2.74071915E-03 1.55228642E+00 3.19989296E-03
-2.74068902E-03 1.55243747E+00 3.20591180E-03
-2.74065887E-03 1.55258866E+00 3.21191928E-03
-2.74062871E-03 1.55274002E+00 3.21791512E-03
-2.74059851E-03 1.55289153E+00 3.22389971E-03
-2.74056827E-03 1.55304319E+00 3.22987348E-03
-2.74053799E-03 1.55319499E+00 3.23583614E-03
-2.74050772E-03 1.55334696E+00 3.24178739E-03
-2.74047741E-03 1.55349908E+00 3.24772765E-03
-2.74044246E-03 1.55363888E+00 3.25444164E-03
-2.74040739E-03 1.55377850E+00 3.26116170E-03
-2.74037227E-03 1.55391827E+00 3.26786784E-03
-2.74033709E-03 1.55405816E+00 3.27456050E-03
-2.74030190E-03 1.55419821E+00 3.28123906E-03
-2.74026666E-03 1.55433840E+00 3.28790394E-03
-2.74023136E-03 1.55447872E+00 3.29455561E-03
-2.74019605E-03 1.55461919E+00 3.30119341E-03
-2.74016069E-03 1.55475980E+00 3.30781780E-03
-2.74012094E-03 1.55488953E+00 3.31516484E-03
-2.74008031E-03 1.55501730E+00 3.32263496E-03
-2.74003962E-03 1.55514519E+00 3.33008820E-03
-2.73999888E-03 1.55527322E+00 3.33752468E-03
-2.73995808E-03 1.55540138E+00 3.34494451E-03
-2.73991724E-03 1.55552966E+00 3.35234780E-03
-2.73987634E-03 1.55565808E+00 3.35973467E-03
-2.73983538E-03 1.55578662E+00 3.36710521E-03
-2.73979438E-03 1.55591530E+00 3.37445954E-03
-2.73974932E-03 1.55603473E+00 3.38246678E-03
-2.73970252E-03 1.55615038E+00 3.39073279E-03
-2.73965563E-03 1.55626615E+00 3.39897895E-03
-2.73960866E-03 1.55638202E+00 3.40720502E-03
-2.73956165E-03 1.55649803E+00 3.41541075E-03
-2.73951457E-03 1.55661415E+00 3.42359668E-03
-2.73946742E-03 1.55673039E+00 3.43176295E-03
-2.73942020E-03 1.55684675E+00 3.43990969E-03
-2.73937289E-03 1.55696322E+00 3.44803744E-03
-2.73932198E-03 1.55707222E+00 3.45672906E-03
-2.73926830E-03 1.55717566E+00 3.46583427E-03
-2.73921454E-03 1.55727920E+00 3.47491546E-03
-2.73916071E-03 1.55738285E+00 3.48397242E-03
-2.73910680E-03 1.55748661E+00 3.49300573E-03
-2.73905274E-03 1.55759046E+00 3.50201640E-03
-2.73899864E-03 1.55769443E+00 3.51100297E-03
-2.73894445E-03 1.55779850E+00 3.51996644E-03
-2.73889012E-03 1.55790267E+00 3.52890781E-03
-2.73883280E-03 1.55800124E+00 3.53830341E-03
-2.73877156E-03 1.55809256E+00 3.54828599E-03
-2.73871022E-03 1.55818398E+00 3.55823996E-03
-2.73864875E-03 1.55827548E+00 3.56816639E-03
-2.73858716E-03 1.55836708E+00 3.57806511E-03
-2.73852548E-03 1.55845878E+00 3.58793590E-03
-2.73846363E-03 1.55855056E+00 3.59778029E-03
-2.73840172E-03 1.55864245E+00 3.60759678E-03
-2.73833969E-03 1.55873444E+00 3.61738645E-03
-2.73827532E-03 1.55882266E+00 3.62750299E-03
-2.73820570E-03 1.55890214E+00 3.63839899E-03
-2.73813600E-03 1.55898171E+00 3.64926138E-03
-2.73806615E-03 1.55906136E+00 3.66009132E-03
-2.73799612E-03 1.55914109E+00 3.67088953E-03
-2.73792595E-03 1.55922091E+00 3.68165586E-03
-2.73785566E-03 1.55930081E+00 3.69239015E-03
-2.73778522E-03 1.55938080E+00 3.70309310E-03
-2.73771458E-03 1.55946085E+00 3.71376590E-03
-2.73764252E-03 1.55953895E+00 3.72461575E-03
-2.73756381E-03 1.55960709E+00 3.73645191E-03
-2.73748493E-03 1.55967530E+00 3.74825047E-03
-2.73740584E-03 1.55974357E+00 3.76001222E-03
-2.73732656E-03 1.55981192E+00 3.77173707E-03
-2.73724712E-03 1.55988034E+00 3.78342489E-03
-2.73716750E-03 1.55994884E+00 3.79507648E-03
-2.73708767E-03 1.56001740E+00 3.80669264E-03
-2.73700765E-03 1.56008602E+00 3.81827323E-03
-2.73692718E-03 1.56015433E+00 3.82986359E-03
-2.73683850E-03 1.56021177E+00 3.84265263E-03
-2.73674959E-03 1.56026927E+00 3.85539896E-03
-2.73666046E-03 1.56032683E+00 3.86810302E-03
-2.73657109E-03 1.56038446E+00 3.88076522E-03
-2.73648150E-03 1.56044214E+00 3.89338596E-03
-2.73639168E-03 1.56049988E+00 3.90596565E-03
-2.73630162E-03 1.56055768E+00 3.91850469E-03
-2.73621134E-03 1.56061555E+00 3.93100345E-03
-2.73612082E-03 1.56067347E+00 3.94346233E-03
-2.73602218E-03 1.56072202E+00 3.95708347E-03
-2.73592233E-03 1.56076955E+00 3.97078996E-03
-2.73582222E-03 1.56081715E+00 3.98444849E-03
-2.73572183E-03 1.56086479E+00 3.99806002E-03
-2.73562116E-03 1.56091249E+00 4.01162505E-03
-2.73552020E-03 1.56096024E+00 4.02514402E-03
-2.73541893E-03 1.56100803E+00 4.03861793E-03
-2.73531744E-03 1.56105588E+00 4.05204569E-03
-2.73521560E-03 1.56110377E+00 4.06542980E-03
-2.73510641E-03 1.56114443E+00 4.07983830E-03
-2.73499471E-03 1.56118290E+00 4.09451969E-03
-2.73488266E-03 1.56122142E+00 4.10914825E-03
-2.73477027E-03 1.56125997E+00 4.12372455E-03
-2.73465754E-03 1.56129857E+00 4.13824914E-03
-2.73454446E-03 1.56133720E+00 4.15272256E-03
-2.73443103E-03 1.56137588E+00 4.16714534E-03
-2.73431723E-03 1.56141459E+00 4.18151855E-03
-2.73420311E-03 1.56145335E+00 4.19584163E-03
-2.73408252E-03 1.56148682E+00 4.21102601E-03
-2.73395799E-03 1.56151724E+00 4.22668163E-03
-2.73383307E-03 1.56154769E+00 4.24227852E-03
-2.73370770E-03 1.56157817E+00 4.25781841E-03
-2.73358192E-03 1.56160868E+00 4.27330137E-03
-2.73345575E-03 1.56163924E+00 4.28872749E-03
-2.73332913E-03 1.56166982E+00 4.30409845E-03
-2.73320209E-03 1.56170043E+00 4.31941431E-03
-2.73307465E-03 1.56173108E+00 4.33467510E-03
-2.73294176E-03 1.56175811E+00 4.35061806E-03
-2.73280343E-03 1.56178152E+00 4.36723728E-03
-2.73266455E-03 1.56180494E+00 4.38379415E-03
-2.73252523E-03 1.56182841E+00 4.40028712E-03
-2.73238535E-03 1.56185188E+00 4.41671918E-03
-2.73224503E-03 1.56187540E+00 4.43308873E-03
-2.73210414E-03 1.56189892E+00 4.44939873E-03
-2.73196278E-03 1.56192248E+00 4.46564814E-03
-2.73182091E-03 1.56194606E+00 4.48183818E-03
-2.73167477E-03 1.56196742E+00 4.49851866E-03
-2.73152156E-03 1.56198489E+00 4.51608941E-03
-2.73136771E-03 1.56200235E+00 4.53359270E-03
-2.73121329E-03 1.56201985E+00 4.55102756E-03
-2.73105828E-03 1.56203736E+00 4.56839536E-03
-2.73090267E-03 1.56205490E+00 4.58569687E-03
-2.73074646E-03 1.56207245E+00 4.60293281E-03
