# EOS Table generated on 20120309 from
# LS220_234r_136t_50y_analmu_20091212_SVNr26.h5
# Original table has nrho ntemp nye:    234   136    50
# T =    0.100000E-01
EoSType = ColdTable
Nrho =  2000
RhoMin =   0.161865E-14      RhoMax =   0.161865E-01
HeatCapacity =   0.160000E-02
GammaTh =   0.166667E+01
Kappa =   0.100000E+03
RhoSpacing = Log
-9.84566757E-03 1.53459618E+00 2.88124540E-03
-9.84566435E-03 1.53482367E+00 2.88267896E-03
-9.84566117E-03 1.53505137E+00 2.88411221E-03
-9.84565799E-03 1.53527928E+00 2.88554474E-03
-9.84565481E-03 1.53550741E+00 2.88697654E-03
-9.84565163E-03 1.53573576E+00 2.88840761E-03
-9.84564845E-03 1.53596433E+00 2.88983795E-03
-9.84564410E-03 1.53618860E+00 2.89146913E-03
-9.84563956E-03 1.53641218E+00 2.89314039E-03
-9.84563502E-03 1.53663597E+00 2.89481067E-03
-9.84563044E-03 1.53685998E+00 2.89647952E-03
-9.84562590E-03 1.53708419E+00 2.89814782E-03
-9.84562132E-03 1.53730863E+00 2.89981470E-03
-9.84561677E-03 1.53753328E+00 2.90148105E-03
-9.84561222E-03 1.53775814E+00 2.90314642E-03
-9.84560725E-03 1.53798172E+00 2.90487933E-03
-9.84560120E-03 1.53820105E+00 2.90681489E-03
-9.84559512E-03 1.53842060E+00 2.90874868E-03
-9.84558903E-03 1.53864036E+00 2.91068116E-03
-9.84558297E-03 1.53886033E+00 2.91261279E-03
-9.84557688E-03 1.53908051E+00 2.91454266E-03
-9.84557081E-03 1.53930090E+00 2.91647168E-03
-9.84556471E-03 1.53952151E+00 2.91839895E-03
-9.84555861E-03 1.53974233E+00 2.92032492E-03
-9.84555142E-03 1.53995895E+00 2.92245571E-03
-9.84554365E-03 1.54017365E+00 2.92468394E-03
-9.84553588E-03 1.54038856E+00 2.92691045E-03
-9.84552811E-03 1.54060368E+00 2.92913523E-03
-9.84552032E-03 1.54081900E+00 2.93135830E-03
-9.84551254E-03 1.54103453E+00 2.93357965E-03
-9.84550475E-03 1.54125028E+00 2.93579929E-03
-9.84549695E-03 1.54146623E+00 2.93801722E-03
-9.84548898E-03 1.54168171E+00 2.94026572E-03
-9.84547933E-03 1.54189092E+00 2.94282167E-03
-9.84546969E-03 1.54210033E+00 2.94537537E-03
-9.84546000E-03 1.54230996E+00 2.94792636E-03
-9.84545033E-03 1.54251978E+00 2.95047558E-03
-9.84544066E-03 1.54272980E+00 2.95302256E-03
-9.84543098E-03 1.54294003E+00 2.95556731E-03
-9.84542129E-03 1.54315046E+00 2.95810984E-03
-9.84541156E-03 1.54336111E+00 2.96064967E-03
-9.84540081E-03 1.54356793E+00 2.96338424E-03
-9.84538903E-03 1.54377118E+00 2.96630060E-03
-9.84537728E-03 1.54397462E+00 2.96921453E-03
-9.84536547E-03 1.54417827E+00 2.97212509E-03
-9.84535366E-03 1.54438211E+00 2.97503276E-03
-9.84534187E-03 1.54458614E+00 2.97793803E-03
-9.84533003E-03 1.54479039E+00 2.98083994E-03
-9.84531821E-03 1.54499482E+00 2.98373948E-03
-9.84530635E-03 1.54519946E+00 2.98663568E-03
-9.84529237E-03 1.54539638E+00 2.98992640E-03
-9.84527823E-03 1.54559295E+00 2.99324077E-03
-9.84526407E-03 1.54578971E+00 2.99655142E-03
-9.84524989E-03 1.54598667E+00 2.99985838E-03
-9.84523570E-03 1.54618381E+00 3.00316165E-03
-9.84522149E-03 1.54638115E+00 3.00646124E-03
-9.84520726E-03 1.54657869E+00 3.00975717E-03
-9.84519302E-03 1.54677641E+00 3.01304945E-03
-9.84517787E-03 1.54697108E+00 3.01650620E-03
-9.84516111E-03 1.54716006E+00 3.02026242E-03
-9.84514428E-03 1.54734924E+00 3.02401342E-03
-9.84512744E-03 1.54753860E+00 3.02775971E-03
-9.84511060E-03 1.54772814E+00 3.03150182E-03
-9.84509373E-03 1.54791786E+00 3.03523927E-03
-9.84507681E-03 1.54810778E+00 3.03897156E-03
-9.84505990E-03 1.54829788E+00 3.04269973E-03
-9.84504293E-03 1.54848817E+00 3.04642277E-03
-9.84502381E-03 1.54867105E+00 3.05054680E-03
-9.84500405E-03 1.54885193E+00 3.05478157E-03
-9.84498425E-03 1.54903298E+00 3.05901041E-03
-9.84496442E-03 1.54921421E+00 3.06323335E-03
-9.84494456E-03 1.54939562E+00 3.06745041E-03
-9.84492466E-03 1.54957721E+00 3.07166162E-03
-9.84490473E-03 1.54975898E+00 3.07586700E-03
-9.84488476E-03 1.54994093E+00 3.08006658E-03
-9.84486417E-03 1.55012100E+00 3.08437415E-03
-9.84484113E-03 1.55029289E+00 3.08913747E-03
-9.84481801E-03 1.55046496E+00 3.09389286E-03
-9.84479488E-03 1.55063719E+00 3.09864141E-03
-9.84477168E-03 1.55080960E+00 3.10338209E-03
-9.84474846E-03 1.55098217E+00 3.10811600E-03
-9.84472516E-03 1.55115493E+00 3.11284210E-03
-9.84470181E-03 1.55132786E+00 3.11756097E-03
-9.84467845E-03 1.55150094E+00 3.12227316E-03
-9.84465299E-03 1.55166742E+00 3.12736864E-03
-9.84462621E-03 1.55182986E+00 3.13269699E-03
-9.84459935E-03 1.55199247E+00 3.13801566E-03
-9.84457245E-03 1.55215524E+00 3.14332579E-03
-9.84454550E-03 1.55231816E+00 3.14862688E-03
-9.84451848E-03 1.55248125E+00 3.15391898E-03
-9.84449140E-03 1.55264451E+00 3.15920213E-03
-9.84446423E-03 1.55280793E+00 3.16447582E-03
-9.84443689E-03 1.55297107E+00 3.16976796E-03
-9.84440603E-03 1.55312331E+00 3.17571540E-03
