# EOS Table generated on 20120306 from
# HShenEOS_rho220_temp180_ye65_version2.0_20111026_EOSmaker_svn9.h5
# Original table has nrho ntemp nye:    220   180    65
EoSType = BetaEq
Nrho =   300NT =   120
RhoMin =   0.161865E-09      RhoMax =   0.158181E-01
Tmin =   0.100000E-01      Tmax =   0.316228E+03
HeatCapacity =   0.160000E-02
GammaTh =   0.166667E+01
Kappa =   0.100000E+03
RhoSpacing = Log
TSpacing = Log
 9.84198477E-03 2.08633767E+00 4.02443190E-02
 9.92061201E-03 2.09189364E+00 4.06857920E-02
 9.99931378E-03 2.09739591E+00 4.12547210E-02
 1.00788092E-02 2.10284048E+00 4.19158378E-02
 1.01588660E-02 2.10812680E+00 4.27745334E-02
 1.02396457E-02 2.11317025E+00 4.39175471E-02
 1.03266525E-02 2.11782590E+00 4.51858918E-02
 1.04171019E-02 2.12179298E+00 4.67305760E-02
 1.05087046E-02 2.12576151E+00 4.82597210E-02
 1.06037431E-02 2.12910481E+00 5.04184475E-02
 1.07009127E-02 2.13242483E+00 5.25706931E-02
 1.08046920E-02 2.13455735E+00 5.52361101E-02
 1.09119426E-02 2.13628040E+00 5.80712633E-02
 1.10252290E-02 2.13748349E+00 6.14194689E-02
 1.11453364E-02 2.13811999E+00 6.51298092E-02
 1.12726774E-02 2.13819181E+00 6.85799091E-02
 1.14141384E-02 2.13743345E+00 7.13827093E-02
 1.15594929E-02 2.13752698E+00 7.35130698E-02
 1.17272879E-02 2.13664092E+00 7.73885553E-02
 1.18968504E-02 2.13605500E+00 8.15690167E-02
 1.20896848E-02 2.13411139E+00 8.82230125E-02
 1.22877902E-02 2.13227057E+00 9.45767159E-02
 1.25175107E-02 2.12874552E+00 1.02412288E-01
 1.27675241E-02 2.12418373E+00 1.10922873E-01
 1.30429291E-02 2.11913409E+00 1.19409209E-01
 1.33534340E-02 2.11334407E+00 1.27989249E-01
 1.36927589E-02 2.10763062E+00 1.36166835E-01
 1.41155843E-02 2.10162632E+00 1.45377775E-01
 1.45405036E-02 2.09554668E+00 1.54143640E-01
 1.50687157E-02 2.08966503E+00 1.64052747E-01
 1.56039412E-02 2.08367196E+00 1.73399851E-01
 1.62575508E-02 2.07759341E+00 1.84182699E-01
 1.69702305E-02 2.07143008E+00 1.94842778E-01
 1.77760065E-02 2.06537356E+00 2.06176589E-01
 1.86798955E-02 2.05937626E+00 2.17917451E-01
 1.96860351E-02 2.05336705E+00 2.29799430E-01
 2.08469652E-02 2.04723209E+00 2.43048292E-01
 2.20679586E-02 2.04100604E+00 2.55600641E-01
 2.35610211E-02 2.03521287E+00 2.69945775E-01
 2.51053617E-02 2.02920549E+00 2.83280929E-01
 2.69517447E-02 2.02332674E+00 2.98937783E-01
 2.89110902E-02 2.01725796E+00 3.13955739E-01
 3.11619986E-02 2.01140255E+00 3.30117853E-01
 3.36544381E-02 2.00550850E+00 3.46293669E-01
 3.63936626E-02 1.99955519E+00 3.63157298E-01
 3.95109860E-02 1.99362161E+00 3.81197842E-01
 4.28681310E-02 1.98754356E+00 3.98691481E-01
 4.67614443E-02 1.98156486E+00 4.18143701E-01
 5.09098410E-02 1.97528915E+00 4.36098693E-01
 5.57155464E-02 1.96949623E+00 4.56247257E-01
 6.08561134E-02 1.96336330E+00 4.74948420E-01
 6.67091792E-02 1.95734945E+00 4.94913671E-01
 7.31277436E-02 1.95114969E+00 5.14126974E-01
 8.02513483E-02 1.94517153E+00 5.32815225E-01
 8.81407219E-02 1.93933094E+00 5.50851614E-01
 9.67545724E-02 1.93353549E+00 5.67718404E-01
 1.06354975E-01 1.92819986E+00 5.83935141E-01
 1.16794352E-01 1.92270169E+00 5.98642804E-01
 1.28391155E-01 1.91815753E+00 6.11835264E-01
 1.40968918E-01 1.91338979E+00 6.23658757E-01
 1.54638055E-01 1.90964523E+00 6.33626649E-01
 1.69496520E-01 1.90590795E+00 6.42311447E-01
 1.85496264E-01 1.90295534E+00 6.49391735E-01
 2.02853797E-01 1.90037123E+00 6.55197473E-01
 2.21412844E-01 1.89825139E+00 6.59831392E-01
 2.41184954E-01 1.89681612E+00 6.63329555E-01
 2.62427221E-01 1.89555267E+00 6.65914189E-01
 2.84716565E-01 1.89522096E+00 6.67480446E-01
 3.08800079E-01 1.89483811E+00 6.68339352E-01
 3.33539805E-01 1.89553566E+00 6.68750969E-01
 3.60163759E-01 1.89623073E+00 6.68560171E-01
 3.87678697E-01 1.89762522E+00 6.68057213E-01
 4.16863463E-01 1.89924085E+00 6.67112249E-01
 4.47164976E-01 1.90134433E+00 6.65892104E-01
 4.78738325E-01 1.90387193E+00 6.64415041E-01
 5.11846816E-01 1.90665483E+00 6.62738962E-01
 5.45867496E-01 1.90994123E+00 6.61168751E-01
 5.81834023E-01 1.91334773E+00 6.59243210E-01
 6.18178877E-01 1.91737824E+00 6.57361555E-01
 6.56693616E-01 1.92148501E+00 6.55133421E-01
 6.95563354E-01 1.92613299E+00 6.53259974E-01
 7.36388296E-01 1.93093347E+00 6.51169611E-01
 7.78029904E-01 1.93612627E+00 6.49158058E-01
 8.21214673E-01 1.94156527E+00 6.47076362E-01
 8.65607222E-01 1.94730675E+00 6.44981976E-01
 9.10976061E-01 1.95338853E+00 6.42997835E-01
 9.58099367E-01 1.95968192E+00 6.40891468E-01
 1.00578116E+00 1.96636035E+00 6.39067702E-01
 1.05573628E+00 1.97319242E+00 6.37003843E-01
 1.10562254E+00 1.98048183E+00 6.35218511E-01
 1.15782576E+00 1.98793234E+00 6.33233132E-01
 1.21050865E+00 1.99576242E+00 6.31501841E-01
 1.26496785E+00 2.00383162E+00 6.29714375E-01
 1.32051302E+00 2.01221797E+00 6.27998455E-01
 1.37726154E+00 2.02092171E+00 6.26298169E-01
 1.43568851E+00 2.02989004E+00 6.24601080E-01
 1.49475081E+00 2.03923495E+00 6.23045837E-01
 1.55589336E+00 2.04884476E+00 6.21365111E-01
 1.61725534E+00 2.05885221E+00 6.19993353E-01
 1.68079505E+00 2.06915475E+00 6.18429769E-01
 1.74528175E+00 2.07981986E+00 6.17265930E-01
 1.81189762E+00 2.09080271E+00 6.16010310E-01
-2.26579989E-03 1.57949152E+00 1.70335850E-02
-2.25264148E-03 1.58010400E+00 1.72125515E-02
-2.23918510E-03 1.58072683E+00 1.73916320E-02
-2.22535498E-03 1.58135162E+00 1.75754550E-02
-2.21129621E-03 1.58198754E+00 1.77574334E-02
-2.19692615E-03 1.58263011E+00 1.79432631E-02
-2.18222545E-03 1.58327727E+00 1.81281742E-02
-2.16723802E-03 1.58393466E+00 1.83168282E-02
-2.15195327E-03 1.58460002E+00 1.85045748E-02
-2.13629881E-03 1.58526871E+00 1.86958503E-02
-2.12037309E-03 1.58594717E+00 1.88872433E-02
-2.10410650E-03 1.58663269E+00 1.90798373E-02
-2.08747127E-03 1.58732442E+00 1.92746529E-02
-2.07056265E-03 1.58802673E+00 1.94686837E-02
-2.05325261E-03 1.58873323E+00 1.96679664E-02
-2.03560565E-03 1.58944743E+00 1.98653911E-02
-2.01763131E-03 1.59017020E+00 2.00667751E-02
-1.99926328E-03 1.59089831E+00 2.02671230E-02
-1.98051420E-03 1.59163414E+00 2.04717224E-02
-1.96146171E-03 1.59238088E+00 2.06755670E-02
-1.94195906E-03 1.59313052E+00 2.08825056E-02
-1.92208324E-03 1.59388742E+00 2.10907684E-02
-1.90188727E-03 1.59465544E+00 2.12985120E-02
-1.88120216E-03 1.59542765E+00 2.15102487E-02
-1.86015612E-03 1.59620906E+00 2.17206818E-02
-1.83873264E-03 1.59699862E+00 2.19368224E-02
-1.81684158E-03 1.59779325E+00 2.21515634E-02
-1.79452973E-03 1.59859526E+00 2.23701225E-02
-1.77187329E-03 1.59940825E+00 2.25866758E-02
-1.74868488E-03 1.60022542E+00 2.28081487E-02
-1.72508242E-03 1.60105160E+00 2.30302985E-02
-1.70109891E-03 1.60188718E+00 2.32532152E-02
-1.67657699E-03 1.60272625E+00 2.34795433E-02
-1.65162550E-03 1.60357468E+00 2.37051614E-02
-1.62575971E-03 1.60443359E+00 2.39344648E-02
-1.59911253E-03 1.60529902E+00 2.41623931E-02
-1.57192132E-03 1.60617014E+00 2.43978400E-02
