#rho_c = 0.0014, P_c = 0.000236305, eps_c = 0.00153286
#Scale = 100, Pressure Depletion = 1
#finished odeint with kount = 3958, r = 7.8672, and P = 5.03375e-23
#Found TOV solution for rho_c = 0.0014
#       Mass   = 1.41939
#       Radius = 6.36873
#       Circ Radius = 7.8672
#       Surf Lapse =  0.799477  0.799477  7.8672
#r (iso)        rho          P
1.86727   0.00127957   0.000179791
1.87371   0.00127876   0.000179447
1.88015   0.00127795   0.000179103
1.88659   0.00127715   0.000178757
1.89302   0.00127633   0.000178412
1.89946   0.00127552   0.000178065
1.9059   0.0012747   0.000177718
1.91234   0.00127388   0.000177371
1.91878   0.00127306   0.000177022
1.92522   0.00127224   0.000176674
1.93166   0.00127141   0.000176324
1.9381   0.00127058   0.000175975
1.94453   0.00126975   0.000175624
1.95097   0.00126892   0.000175273
1.95741   0.00126808   0.000174922
1.96385   0.00126725   0.00017457
1.97029   0.00126641   0.000174217
1.97673   0.00126556   0.000173864
1.98317   0.00126472   0.00017351
1.98961   0.00126387   0.000173156
1.99605   0.00126302   0.000172801
2.00248   0.00126217   0.000172446
2.00892   0.00126131   0.000172091
2.01536   0.00126045   0.000171734
2.0218   0.0012596   0.000171378
2.02824   0.00125873   0.000171021
2.03468   0.00125787   0.000170663
2.04112   0.001257   0.000170305
2.04756   0.00125613   0.000169946
2.054   0.00125526   0.000169587
2.06043   0.00125439   0.000169227
2.06687   0.00125351   0.000168867
2.07331   0.00125263   0.000168507
2.07975   0.00125175   0.000168146
2.08619   0.00125087   0.000167785
2.09263   0.00124998   0.000167423
2.09907   0.0012491   0.000167061
2.10551   0.00124821   0.000166698
2.11195   0.00124731   0.000166335
2.11838   0.00124642   0.000165971
2.12482   0.00124552   0.000165607
2.13126   0.00124462   0.000165243
2.1377   0.00124372   0.000164878
2.14414   0.00124282   0.000164513
2.15058   0.00124191   0.000164147
2.15702   0.001241   0.000163781
2.16346   0.00124009   0.000163415
2.16989   0.00123918   0.000163048
2.17633   0.00123826   0.000162681
2.18277   0.00123734   0.000162313
2.18921   0.00123642   0.000161945
2.19565   0.0012355   0.000161577
2.20209   0.00123458   0.000161209
2.20853   0.00123365   0.00016084
2.21497   0.00123272   0.00016047
2.22141   0.00123179   0.000160101
2.22784   0.00123085   0.000159731
2.23428   0.00122992   0.00015936
2.24072   0.00122898   0.00015899
2.24716   0.00122804   0.000158618
2.2536   0.0012271   0.000158247
2.26004   0.00122615   0.000157875
2.26648   0.0012252   0.000157503
2.27292   0.00122425   0.000157131
2.27936   0.0012233   0.000156759
2.28579   0.00122235   0.000156386
2.29223   0.00122139   0.000156013
2.29867   0.00122043   0.000155639
2.30511   0.00121947   0.000155265
2.31155   0.00121851   0.000154891
2.31799   0.00121754   0.000154517
2.32443   0.00121657   0.000154142
2.33087   0.0012156   0.000153767
2.33731   0.00121463   0.000153392
2.34374   0.00121366   0.000153017
2.35018   0.00121268   0.000152641
2.35662   0.0012117   0.000152265
2.36306   0.00121072   0.000151889
2.3695   0.00120973   0.000151513
2.37594   0.00120875   0.000151136
2.38238   0.00120776   0.00015076
2.38882   0.00120677   0.000150382
2.39525   0.00120578   0.000150005
2.40169   0.00120478   0.000149628
2.40813   0.00120379   0.00014925
2.41457   0.00120279   0.000148872
2.42101   0.00120179   0.000148494
2.42745   0.00120078   0.000148116
2.43389   0.00119978   0.000147737
2.44033   0.00119877   0.000147358
2.44677   0.00119776   0.00014698
2.4532   0.00119675   0.000146601
2.45964   0.00119573   0.000146221
2.46608   0.00119471   0.000145842
2.47252   0.0011937   0.000145462
2.47896   0.00119267   0.000145083
2.4854   0.00119165   0.000144703
2.49184   0.00119063   0.000144323
2.49828   0.0011896   0.000143943
2.50472   0.00118857   0.000143562
2.51115   0.00118754   0.000143182
2.51759   0.0011865   0.000142801
2.52403   0.00118547   0.00014242
2.53047   0.00118443   0.00014204
2.53691   0.00118339   0.000141659
2.54335   0.00118234   0.000141277
2.54979   0.0011813   0.000140896
2.55623   0.00118025   0.000140515
2.56267   0.0011792   0.000140134
2.5691   0.00117815   0.000139752
2.57554   0.00117709   0.00013937
2.58198   0.00117604   0.000138989
2.58842   0.00117498   0.000138607
2.59486   0.00117392   0.000138225
2.6013   0.00117286   0.000137843
2.60774   0.00117179   0.000137461
2.61418   0.00117073   0.000137079
2.62061   0.00116966   0.000136697
2.62705   0.00116859   0.000136315
2.63349   0.00116751   0.000135932
2.63993   0.00116644   0.00013555
2.64637   0.00116536   0.000135168
2.65281   0.00116428   0.000134785
2.65925   0.0011632   0.000134403
2.66569   0.00116211   0.00013402
2.67213   0.00116103   0.000133638
2.67856   0.00115994   0.000133255
2.685   0.00115885   0.000132873
2.69144   0.00115776   0.00013249
2.69788   0.00115666   0.000132107
2.70432   0.00115557   0.000131725
2.71076   0.00115447   0.000131342
